X,Y,address,business_name,business_type,precinct,live_date,ObjectId
-83.199179,42.401723,15510 Fenkell St,Mobil,Retail,8,2016/01/01 05:00:00+00,1
-83.159842,42.417175,8930 W McNichols Rd,Marathon,Retail,12,2016/01/01 05:00:00+00,2
-83.197639,42.386789,15439 Schoolcraft Ave,Citgo,Retail,2,2016/01/01 05:00:00+00,3
-83.004221,42.434677,11603 E 7 Mile Rd,Sunoco,Retail,9,2016/01/01 05:00:00+00,4
-82.959684,42.405842,10601 E Outer Dr,BP,Retail,9,2016/01/01 05:00:00+00,5
-82.939714,42.374466,14820 E Jefferson Ave,Mobil,Retail,5,2016/01/01 05:00:00+00,6
-83.23638,42.357863,20000 Joy Rd,Mobil,Retail,6,2016/01/01 05:00:00+00,7
-83.026459,42.336197,2010 E Jefferson Ave,Mobil,Retail,7,2016/01/01 05:00:00+00,8
-83.205325,42.408833,16046 Puritan St,Puritan Liquor,Retail,8,2016/03/03 05:00:00+00,9
-82.946213,42.371749,14200 E Jefferson Ave,Perry's Liquor,Retail,5,2016/03/03 05:00:00+00,10
-83.224043,42.402544,18551 Grand River Ave,Royal Fresh Market,Retail,8,2016/07/23 04:00:00+00,11
-83.25604,42.416266,21640 Grand River Ave,McDonald's,Retail,8,2016/03/03 05:00:00+00,12
-83.154441,42.276309,1781 S Fort St,Exxon,Retail,4,2016/03/21 04:00:00+00,13
-83.105955,42.315912,6003 W Vernor Hwy,McDonald's,Retail,4,2016/03/21 04:00:00+00,14
-82.978853,42.436639,14383 Gratiot Ave,Mike's Fresh Market,Retail,9,2016/04/12 04:00:00+00,15
-82.947685,42.424767,11535 Morang Dr,Sunoco,Retail,9,2016/04/12 04:00:00+00,16
-83.221736,42.401727,18403 Grand River Ave,McDonald's,Retail,8,2016/04/18 04:00:00+00,17
-83.13926,42.369242,9800 Grand River Ave,Mobil,Retail,10,2016/04/18 04:00:00+00,18
-83.237091,42.401038,19850 Fenkell St,Fuel Zone,Retail,8,2016/04/25 04:00:00+00,19
-83.04205,42.335379,535 Monroe St,The Greek,Retail,3,2018/01/30 05:00:00+00,20
-83.04727,42.351906,975 Mack Ave,Exxon,Retail,7,2016/04/25 04:00:00+00,21
-82.938957,42.374723,14900 E Jefferson Ave,Marathon,Retail,5,2016/04/27 04:00:00+00,22
-83.046479,42.351351,1000 Mack Ave,McDonald's,Retail,7,2016/04/28 04:00:00+00,23
-83.008413,42.343858,6416 E Jefferson Ave,Palace Plaza Liquor,Retail,7,2016/05/10 04:00:00+00,24
-83.142641,42.433045,19195 Livernois Ave,Mike's Fresh Market,Retail,12,2016/05/14 04:00:00+00,25
-83.221154,42.372454,18426 Plymouth Rd,Starter's Bar & Grill,Retail,6,2016/05/14 04:00:00+00,26
-83.077038,42.376357,8290 Woodward Ave,Turkey Grill,Retail,3,2016/05/23 04:00:00+00,27
-83.105253,42.368644,8536 Linwood Ave,One Stop Liquor,Retail,10,2016/07/27 04:00:00+00,28
-83.043478,42.334692,401 Monroe St,Parkrite,Services,3,2018/01/30 05:00:00+00,29
-83.259988,42.442816,22021 W 8 Mile Rd,McDonald's,Retail,8,2016/05/27 04:00:00+00,30
-83.129555,42.331454,6876 Michigan Ave,McDonald's,Retail,4,2016/06/04 04:00:00+00,31
-83.196914,42.366079,9540 Greenfield Rd,Glass Bottle Shoppe,Retail,2,2016/06/06 04:00:00+00,32
-83.073994,42.334003,1920 W Fisher Fwy,Mobil,Retail,3,2016/06/21 04:00:00+00,33
-83.078378,42.325517,2600 Bagley Ave,Mexican Village Restaurant,Retail,4,2016/06/28 04:00:00+00,34
-83.200313,42.416284,15550 W McNichols Rd,McDonald's,Retail,8,2016/07/12 04:00:00+00,35
-82.987845,42.356714,8825 E Jefferson Ave,McDonald's,Retail,7,2016/07/23 04:00:00+00,36
-83.178808,42.430858,13403 W 7 Mile Rd,Remedy Rx Pharmacy,Retail,12,2016/08/01 04:00:00+00,37
-83.021876,42.36723,6500 Gratiot Ave,Citgo,Retail,7,2016/09/07 04:00:00+00,38
-83.224914,42.42961,18525 W 7 Mile Rd,BP,Retail,8,2016/09/28 04:00:00+00,39
